Codi Local Estació,Nom Estació,Ubicació,Municipi,Altitud,Propietat,Paràmetres mesurats,Tipus d'àrea,Tipus d'estació,Localització,Enllaç
7040003,Parc de Bellver,Castell de Bellver,Palma,117,Ministeri de Medi Ambient i Conselleria de Medi Ambient,"SO2,NO,NO2,O3,PM10,DD,VV,TMP,HR,RS,PRB,LL",Suburbana,Fons,POINT (2.62169444444 39.5645278),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_parc_de_bellver_-_palma_de_mallorca_mallorca-3249/
7040006,Sant Joan de Déu,Hospital Sant Joan de Déu,Palma,5,GESA,"SO2,NO,NO2,PM10,O3,DD,VV,TMP,LL",Urbana,Industrial,POINT (2.7 39.5469444),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_lhospital_sant_joan_de_deu_-_palma_de_mallorca_mallorca-35681/
7032002,Pous,"Carretera de Maó a Ciutadella, Km. 1",Maó,55,GESA,"SO2,NO,NO2,PM10,O3,VV,DD,TMP",Urbana,Industrial,POINT (4.25297222222 39.8909167),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_pous_-_mao_menorca-3261/
7026002,Dalt Vila,"C/ Major, 20",Eivissa,44,GESA,"SO2,NO,NO2,O3,DD,VV,TMP",Urbana,Industrial,POINT (1.43488888889 38.9071944),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_dalt_vila_eivissa-3258/
7040004,Parc Bit,Edifici Telecomunicacions - Parc Bit,Palma,109,GESA,"SO2,NO,NO2,O3,DD,VV,TMP",Rural,Fons,POINT (2.63055555556 39.6347222),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_del_parc_bit_-_palma_de_mallorca_mallorca-3265/
7054001,Torrent,"Subestació de Torrent - Camí Vell de Sant Mateu, s/n",Eivissa,12,GESA,"SO2,NO,NO2,O3,PM10,DD,VV,TMP",Rural,Fons,POINT (1.43275 38.9364167),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_torrent_-_sta_eularia_des_riu_eivissa-3253/
7032003,Port de Maó,c/ Villacarlos s/n,Maó,42,GESA,"SO2,NO,NO2,PM10,O3,DD,VV,TMP",Suburbana,Industrial,POINT (4.25705555556 39.8926389),http://www.caib.es/sites/atmosfera/ca/estacia_de_control_de_la_qualitat_de_laire_del_port_de_maa_-_maa_menorca/
7015001,Ciutadella,Carrer Carnissers - Polígon industrial,Ciutadella,30,Ministeri de Medi Ambient i Conselleria de Medi Ambient,"NO,NO2,O3,PM10,TMP,HR,PRB,LL",Suburbana,Fons,POINT (3.85758333333 40.0106111),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_ciutadella_menorca-3255/
70046001,Sant Antoni de Portmany,Carretera Corona - Poliesportiu Can Coix,Sant Antoni de Portmany,65,Ministeri de Medi Ambient i Conselleria de Medi Ambient,"NO,NO2,O3,PM10,DD,VV,TMP,HR,PRB,LL",Suburbana,Fons,POINT (1.31013888889 38.9943889),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_sant_antoni_de_portmany_eivissa-3263/
7019001,Cases de Menut,"Cases de Menut, Serra de Tramuntana",Escorca,584,Conselleria de Medi Ambient,O3,Rural,Fons,POINT (2.90072222222 39.83025),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_cases_de_menut_-_ozo_mallorca-80678/
7003001,S’Albufera,"Carretera de Sa Pobla a Alcúdia, Km. 6",Alcúdia,6,GESA,"SO2,NO,NO2,PM10,O3,DD,VV,TMP,PRB",Rural,Industrial,POINT (3.07525 39.7911667),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_salbufera_-_alcudia_mallorca-3264/
7044001,Sa Pobla,"Carretera de Sa Pobla a Llubí, Km. 2,5 - Finca Sa Canova",Sa Pobla,7,GESA,"SO2,NO,NO2,PM10,O3,DD,VV,TMP",Rural,Fons,POINT (3.016 39.7484722),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_sa_pobla_mallorca-3252/
7032001,Sant Lluís,"Carretera de Maó a Sant Lluís, Km. 2",Maó,65,GESA,"SO2,NO,NO2,PM10,O3,DD,VV,TMP",Urbana,Industrial,POINT (4.25883333333 39.8748333),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_sant_lluis_-_mao_menorca-3248/
7026001,Can Misses,Hospital de Can Misses,Eivissa,25,GESA,"SO2,NO,NO2,PM10,O3,DD,VV,TMP",Urbana,Industrial,POINT (1.41447222222 38.9140556),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_can_misses_eivissa-3260/
7010001,Hospital Joan March,Hospital Joan March,Bunyola,172,TIRME,"SO2,NO,NO2,O3,PM2,5,PM10,DD,VV,TMP,HR,PRB,LL",Rural,Fons,POINT (2.68777777778 39.6788333),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_lhospital_joan_march_-_bunyola_mallorca-3259/
,Lloseta,Depuradora de Lloseta,Lloseta,,CEMEX,"PM10,PM2,5",Rural,Fons,POINT (2.86491666667 39.7089444),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_lloseta_mallorca-3267/
7040002,Foners,"Carrer Foners, cantonada amb l'Av. Gabriel Alomar i Vilallonga",Palma,23,Ministeri de Medi Ambient i Conselleria de Medi Ambient,"SO2,NO,NO2,CO,O3,BEN,TOL,XIL,DD,W,TMP,HR,LL,PM10",Urbana,Trànsit,POINT (2.65702777778 39.57125),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_carrer_foners_-_palma_de_mallorca_mallorca-3250/
7027002,Sa Vinyeta d’Inca,Carretera vella d'Inca,Inca,118,GESA,"SO2,NO,NO2,PM10,O3,DD,VV,TMP",Suburbana,Fons,POINT (2.91944444444 39.7155556),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_sa_vinyeta_-_inca_mallorca-3251/
7003004,Alcúdia,Antiga central tèrmica d'Alcúdia I - Port d'Alcúdia,Alcúdia,15,GESA,"SO2,NO,NO2,PM10,O3,DD,VV,TMP,PRB",Urbana,Fons,POINT (3.14547222222 39.8348056),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_dalcudia_i_mallorca-3266/
7042001,Can Llompart,Carretera de Pollença a Campanet,Pollença,25,GESA,"SO2,NO,NO2,PM10,O3,DD,VV,TMP,PRB,LL",Rural,Fons,POINT (3.04222222222 39.8447222),http://www.caib.es/sites/atmosfera/ca/estacio_de_control_de_la_qualitat_de_laire_de_can_llompart_-_pollenca_mallorca-3254/
